*	* unknown
735954.98	-665656.17
735844.76	-665694.37
735823.39	-665701.77
735748.78	-665727.73
735672.58	-665755.39
735590.95	-665785.35
735508.42	-665815.37
735443.55	-665842.13
735360.63	-665869.33
735284.65	-665896.98
735217.58	-665920.42
735182.57	-665938.03
735134.09	-665968.00
735093.27	-665995.17
735050.92	-666022.07
734984.39	-666063.20
734955.57	-666079.49
734890.62	-666110.70
734814.21	-666147.49
734674.45	-666155.42
734538.61	-666147.42
734463.44	-666219.81
734354.77	-666207.95
734232.73	-666194.62
734160.98	-666149.88
734039.04	-666079.80
733890.88	-666007.96
733850.39	-666045.17
733819.90	-666073.15
733790.69	-666146.37
733765.58	-666172.58
733747.88	-666244.03
733699.96	-666265.52
733631.12	-666281.15
733609.03	-666306.37
733557.31	-666284.07
733484.09	-666287.38
733440.02	-666301.50
733392.79	-666309.55
733379.45	-666311.82
733358.55	-666293.22
733329.92	-666286.68
733295.30	-666253.26
733282.42	-666207.30
733238.63	-666175.17
733225.80	-666180.66
733190.30	-666196.14
733144.26	-666209.91
733121.09	-666204.09
733065.07	-666192.18
732994.26	-666176.37
732950.42	-666209.84
732883.15	-666261.35
732859.10	-666301.10
732822.82	-666316.69
732764.25	-666386.12
732714.22	-666444.99
732656.99	-666512.99
732653.18	-666517.52
732550.72	-666525.89
732494.60	-666530.01
732448.36	-666533.59
732391.57	-666537.18
732311.65	-666541.88
732251.79	-666545.74
732197.49	-666563.00
732135.06	-666578.00
732075.66	-666593.76
732030.73	-666588.28
731986.89	-666562.96
731930.34	-666559.65
731888.04	-666536.34
731847.67	-666537.87
731816.63	-666524.82
731787.03	-666525.75
731749.31	-666508.86
731722.27	-666504.92
*	* unknown
731540.09	-666553.29
731519.48	-666555.51
731470.28	-666553.48
731451.13	-666546.06
731429.31	-666537.60
731391.91	-666545.91
731379.24	-666545.64
731366.89	-666545.36
731371.56	-666553.53
731377.53	-666563.96
731387.46	-666581.36
731412.13	-666632.75
731411.16	-666678.77
731398.78	-666725.58
731387.12	-666769.70
731383.20	-666799.53
731379.35	-666828.88
731354.16	-666875.73
731336.17	-666909.20
731318.28	-666939.37
731310.97	-666951.71
731299.84	-666969.01
731304.22	-667035.11
731273.32	-667102.77
731227.93	-667141.19
731202.52	-667179.27
731205.78	-667230.04
731169.18	-667285.33
731154.27	-667315.33
731056.53	-667366.32
731027.14	-667402.25
731008.74	-667431.59
730996.35	-667461.36
730969.13	-667498.50
730946.52	-667536.24
730924.08	-667559.25
730889.32	-667600.90
730855.31	-667631.79
730814.84	-667678.15
730814.54	-667678.58
730763.03	-667752.07
730748.99	-667773.69
730739.44	-667802.05
730731.02	-667819.22
730711.30	-667845.11
730710.28	-667846.46
730691.70	-667867.00
730685.60	-667896.44
730672.29	-667961.63
730663.00	-667987.41
730646.30	-668033.92
730644.31	-668039.75
730627.33	-668084.03
730606.37	-668129.79
730597.25	-668147.65
730592.02	-668159.91
730584.03	-668170.02
730571.09	-668186.40
730561.01	-668199.15
730543.87	-668219.71
730526.83	-668237.42
730524.40	-668239.93
730522.98	-668241.42
730462.78	-668303.77
730457.91	-668308.81
730449.00	-668329.41
730444.90	-668339.45
730433.65	-668367.00
730428.87	-668378.73
730423.00	-668388.96
730411.69	-668408.64
730410.64	-668410.47
730403.30	-668423.30
730389.98	-668446.59
730386.22	-668453.17
730361.84	-668513.11
730346.71	-668558.12
730334.34	-668605.78
730322.27	-668639.92
730314.03	-668657.22
730304.84	-668670.13
730299.72	-668676.85
730270.09	-668715.81
730256.72	-668738.19
730195.31	-668778.22
730169.50	-668801.28
730137.28	-668830.10
730079.30	-668882.27
730020.17	-668935.45
729987.93	-668976.76
729971.55	-668996.81
729956.05	-669013.47
729930.86	-669036.99
729923.87	-669045.03
729871.60	-669105.08
729840.93	-669134.64
729802.15	-669199.55
729794.47	-669207.54
729752.35	-669277.50
729750.71	-669280.97
729728.55	-669421.68
729720.36	-669473.65
729711.18	-669531.90
729707.40	-669540.50
729677.82	-669583.66
729603.61	-669684.64
729590.14	-669707.44
729581.51	-669729.70
729572.62	-669774.84
729572.78	-669788.41
729574.39	-669798.45
729578.13	-669815.98
729590.84	-669849.89
729624.98	-669891.94
729643.81	-669912.17
729664.89	-669942.74
729685.40	-669985.74
729692.35	-670004.38
729695.13	-670015.86
729712.11	-670042.29
729723.38	-670058.62
729723.73	-670069.33
729725.19	-670089.41
729726.12	-670099.22
729728.67	-670111.42
729733.25	-670118.67
729741.26	-670125.30
729741.92	-670138.41
729738.19	-670172.27
729739.35	-670205.04
729739.66	-670224.89
729745.95	-670273.41
729736.21	-670325.00
729724.38	-670355.89
729709.12	-670404.23
729701.80	-670438.19
729698.79	-670457.06
729690.25	-670473.60
729684.73	-670486.30
729682.78	-670501.52
729692.98	-670522.40
729693.25	-670532.38
729691.37	-670541.57
729687.93	-670558.37
729701.38	-670582.62
729701.77	-670584.23
729701.42	-670603.42
729699.53	-670609.94
729700.46	-670621.98
729703.71	-670632.01
729703.43	-670665.84
729706.42	-670702.28
729711.68	-670726.62
729718.15	-670740.23
729728.26	-670749.87
729731.45	-670757.29
729741.17	-670769.85
729741.92	-670771.06
729742.60	-670774.25
729757.10	-670784.91
729759.42	-670785.22
729761.51	-670789.27
729763.98	-670790.73
729771.65	-670799.92
729791.77	-670814.35
729800.37	-670818.41
729806.98	-670825.72
729814.61	-670834.80
729815.46	-670838.66
729825.18	-670849.72
729826.77	-670855.37
729831.08	-670857.91
729833.12	-670863.52
729835.69	-670866.26
729839.40	-670868.10
729841.24	-670871.77
729843.90	-670873.37
729844.50	-670876.77
729845.76	-670878.62
729850.76	-670880.43
729857.75	-670884.39
729860.06	-670887.82
729861.29	-670891.16
729864.34	-670893.89
729872.22	-670892.36
729875.45	-670896.80
729876.64	-670901.11
729882.76	-670908.16
729888.09	-670917.96
729890.25	-670919.72
729897.34	-670937.12
729897.18	-670940.16
729899.69	-670946.75
729901.96	-670948.92
729905.76	-670950.68
729906.64	-670954.70
729908.70	-670958.12
729909.68	-670968.03
729915.87	-670991.02
729917.09	-670998.12
729916.50	-671001.72
729916.48	-671009.71
729917.40	-671012.40
729916.88	-671014.61
729920.57	-671027.08
729919.41	-671035.78
729920.91	-671052.38
729920.26	-671061.58
729910.42	-671073.89
729909.54	-671081.82
729915.92	-671093.04
729921.57	-671149.16
729922.79	-671151.68
729922.27	-671153.47
729923.68	-671155.58
729926.12	-671164.74
729924.70	-671170.07
729928.09	-671172.83
729931.77	-671171.09
729936.09	-671172.31
729934.68	-671174.96
729940.07	-671183.01
729946.41	-671190.64
729955.33	-671200.78
729970.49	-671220.81
729971.76	-671226.04
729974.16	-671231.00
729977.29	-671233.93
729978.70	-671236.45
729987.67	-671242.58
729990.62	-671243.91
729993.76	-671242.00
729996.82	-671244.56
730000.24	-671246.34
730004.83	-671251.87
730006.43	-671252.71
730009.85	-671257.52
730016.10	-671264.60
730015.87	-671267.82
730017.45	-671269.88
730018.75	-671277.46
730020.64	-671291.85
730020.59	-671295.36
730021.56	-671300.33
730021.16	-671303.27
730021.37	-671309.01
730018.00	-671311.10
730016.23	-671315.69
730012.73	-671320.99
730014.17	-671325.72
730014.27	-671329.98
730021.12	-671336.39
730024.02	-671341.45
730029.65	-671346.44
730033.19	-671347.58
730043.59	-671361.09
730049.20	-671365.74
730060.71	-671371.06
730079.17	-671386.08
730086.75	-671387.37
730106.41	-671394.11
730112.43	-671399.63
730123.77	-671415.74
730123.68	-671424.63
730121.24	-671427.14
730120.53	-671444.33
730119.96	-671451.61
*	* unknown
730119.96	-671451.61
730120.18	-671454.80
730119.53	-671459.85
730119.32	-671467.02
730117.19	-671475.79
730117.50	-671485.79
730120.64	-671498.11
730122.99	-671511.98
730122.95	-671517.16
730123.73	-671522.67
730119.25	-671524.46
730118.29	-671528.01
730119.17	-671530.31
730117.07	-671533.91
730117.89	-671536.88
730119.98	-671541.16
730115.08	-671546.15
730110.44	-671556.93
730108.48	-671563.89
730109.54	-671568.58
730107.20	-671572.20
730109.27	-671578.19
730109.08	-671586.26
730109.37	-671592.56
730111.61	-671596.96
730112.85	-671606.17
730107.99	-671613.01
730111.07	-671619.55
730108.50	-671622.94
730107.12	-671626.17
730105.18	-671628.36
730100.50	-671634.62
730098.95	-671640.51
730096.17	-671642.90
730096.42	-671648.58
730092.25	-671651.66
730093.91	-671659.27
730089.39	-671667.42
730088.85	-671671.41
730085.32	-671678.68
730084.52	-671682.55
730082.77	-671686.92
730082.89	-671693.16
730083.20	-671698.87
730077.17	-671698.49
730076.63	-671704.85
730074.12	-671708.26
730075.77	-671714.04
730073.05	-671717.75
730071.99	-671724.58
730063.45	-671742.14
730061.94	-671750.22
730056.41	-671757.69
730053.29	-671765.64
730051.21	-671775.57
730049.50	-671781.68
730047.07	-671786.48
730047.08	-671790.89
730044.94	-671793.22
730045.45	-671798.53
730041.95	-671802.20
730046.92	-671806.32
730047.62	-671809.86
730038.68	-671811.71
730029.65	-671818.25
730027.72	-671825.91
730026.67	-671832.46
730022.18	-671841.99
730014.50	-671850.59
730015.51	-671855.04
730011.21	-671859.65
730006.01	-671865.49
730001.59	-671869.73
729995.17	-671878.99
729991.64	-671882.13
729986.80	-671888.86
729982.91	-671891.77
729977.52	-671898.08
729970.51	-671903.49
729966.69	-671908.06
729962.23	-671910.45
729960.03	-671916.70
729955.86	-671920.10
729951.73	-671921.06
729945.26	-671927.11
729942.45	-671934.89
729941.57	-671942.46
729936.72	-671946.78
729930.37	-671956.83
729930.05	-671963.57
729927.07	-671968.58
729926.53	-671976.27
729924.36	-671985.47
729921.47	-672001.68
729921.12	-672009.03
729918.40	-672020.30
729919.41	-672029.81
729918.99	-672044.58
729915.21	-672053.77
729916.00	-672060.26
729915.39	-672069.35
729913.71	-672073.01
729914.13	-672080.40
729917.38	-672088.10
729917.12	-672095.36
729916.01	-672100.44
729912.35	-672106.01
729912.31	-672111.03
729916.00	-672116.40
729919.02	-672122.04
729921.26	-672129.70
729922.45	-672137.03
729927.72	-672139.66
729928.51	-672147.74
729927.65	-672156.91
729931.58	-672161.28
729930.71	-672164.78
729925.06	-672165.86
729924.56	-672169.36
729927.53	-672173.04
729925.45	-672178.30
729922.51	-672180.93
729919.30	-672183.17
729916.45	-672186.62
729911.51	-672188.63
729903.17	-672196.76
729894.62	-672199.93
729882.43	-672210.94
729873.03	-672214.86
729873.40	-672223.52
729855.86	-672237.94
729853.84	-672245.27
729848.13	-672251.00
729832.23	-672247.56
729825.84	-672253.87
729822.00	-672251.28
729815.99	-672251.28
729802.42	-672249.50
729790.06	-672258.29
729781.75	-672267.28
729776.78	-672266.10
729773.29	-672267.92
729769.66	-672273.11
729765.20	-672275.24
729758.29	-672273.54
729754.08	-672276.58
729748.96	-672276.46
729744.22	-672280.29
729738.87	-672280.75
729734.96	-672278.89
729729.60	-672279.88
729726.78	-672282.18
729722.23	-672283.22
729709.65	-672290.76
729703.63	-672291.01
729693.59	-672290.76
729683.53	-672295.48
729668.93	-672304.34
729655.13	-672305.94
729645.63	-672313.13
729631.82	-672313.07
729626.69	-672319.29
729625.57	-672324.72
729621.52	-672333.50
729603.25	-672353.66
729602.22	-672359.77
729599.14	-672365.17
729597.87	-672370.51
729589.40	-672384.90
729585.20	-672389.65
729579.86	-672392.20
729575.16	-672396.32
729572.01	-672399.72
729567.77	-672406.98
729564.32	-672415.60
729565.20	-672424.50
729563.28	-672429.29
729561.30	-672433.66
729559.15	-672442.46
729556.59	-672451.82
729552.64	-672457.30
729548.79	-672460.16
729552.52	-672462.54
729538.63	-672489.68
729537.23	-672492.19
*	* unknown
745972.68	-665876.36
745970.61	-665896.08
745926.50	-665858.10
745858.34	-665799.03
745783.90	-665734.52
745706.51	-665703.82
745651.19	-665681.89
745643.82	-665678.96
745540.78	-665637.34
745421.43	-665589.11
745303.00	-665541.28
745182.69	-665492.66
745183.44	-665490.72
745177.45	-665488.46
745175.62	-665487.28
745171.72	-665485.22
745167.68	-665483.24
745162.17	-665478.67
745152.60	-665469.81
745142.06	-665460.95
745138.19	-665457.86
745118.30	-665444.26
745101.22	-665431.54
745086.73	-665418.39
745065.15	-665390.70
745056.84	-665373.48
745049.89	-665354.46
745045.63	-665327.06
745046.20	-665314.78
745047.88	-665302.09
745051.99	-665288.25
745060.40	-665265.43
745068.74	-665241.92
745071.44	-665225.21
745072.53	-665214.48
745071.44	-665205.76
745065.50	-665190.97
745059.11	-665176.82
745051.99	-665164.31
745042.99	-665153.15
745026.26	-665138.03
745008.14	-665123.59
744989.46	-665108.14
744959.57	-665082.82
744953.06	-665075.41
744940.57	-665063.30
744924.68	-665048.94
744910.20	-665028.23
744901.94	-665015.54
744893.01	-665005.36
744879.92	-664994.53
744861.69	-664981.59
744851.78	-664976.23
744841.61	-664972.17
744831.71	-664969.93
744818.64	-664966.00
744807.35	-664961.65
744793.62	-664955.67
744765.89	-664942.96
744752.64	-664935.92
744742.55	-664931.43
744726.25	-664925.42
744715.89	-664922.00
744705.20	-664919.67
744686.11	-664914.83
744662.63	-664907.24
744644.69	-664902.46
744624.17	-664898.09
744616.53	-664895.65
744612.93	-664894.34
744594.59	-664886.83
744567.37	-664875.02
744556.30	-664869.05
744548.47	-664861.45
744544.40	-664855.72
744540.65	-664847.82
744529.45	-664811.53
744524.02	-664790.13
744522.96	-664785.95
744520.46	-664780.09
744517.69	-664775.73
744510.18	-664765.65
744491.80	-664744.70
744489.34	-664741.90
744477.56	-664727.87
744470.09	-664717.82
744458.78	-664698.24
744456.83	-664698.49
744427.11	-664702.16
744343.84	-664658.77
744296.82	-664632.78
744234.34	-664616.78
744138.24	-664576.60
744012.90	-664524.33
743960.80	-664476.33
743938.16	-664442.86
743901.74	-664405.30
743844.96	-664289.03
743791.98	-664211.10
743728.64	-664137.71
743691.28	-664089.70
743626.77	-664007.09
743597.35	-663946.17
743544.83	-663853.06
743496.88	-663810.85
743420.91	-663772.94
743329.73	-663710.30
743230.79	-663736.15
743146.06	-663779.28
743103.83	-663833.61
742984.17	-663903.99
742945.67	-663969.10
742883.93	-664017.37
742878.30	-664021.77
*	* unknown
740726.56	-664353.74
740722.76	-664353.58
740719.55	-664351.99
740717.21	-664350.71
740691.53	-664326.12
740671.31	-664305.11
740669.31	-664303.31
740662.07	-664297.53
740648.38	-664288.08
740642.90	-664283.17
740641.69	-664281.47
740637.46	-664273.91
740636.38	-664271.58
740631.19	-664256.91
740626.64	-664243.22
740624.69	-664238.46
740620.55	-664231.26
740616.43	-664226.16
740615.04	-664224.99
740612.83	-664222.31
740599.78	-664216.29
740588.16	-664212.32
740563.22	-664206.15
740556.06	-664203.57
740521.71	-664190.24
740513.97	-664188.03
740500.17	-664188.76
740485.04	-664191.02
740475.61	-664195.12
740466.27	-664202.03
740459.12	-664205.03
740451.67	-664206.57
740440.95	-664207.41
740434.61	-664206.29
740422.20	-664202.51
740407.95	-664202.58
740400.68	-664201.32
740392.18	-664198.05
740383.69	-664193.22
740375.14	-664191.20
740362.69	-664190.85
740354.89	-664189.73
740348.17	-664187.28
740341.75	-664183.84
740329.43	-664174.41
740320.63	-664169.98
740304.00	-664166.51
740290.68	-664161.70
740269.17	-664157.35
740246.70	-664151.49
740234.52	-664145.68
740227.38	-664143.38
740218.46	-664141.98
740208.78	-664141.88
740195.15	-664137.85
740182.75	-664135.00
740173.16	-664133.59
740165.41	-664131.81
740157.16	-664128.50
740147.51	-664123.61
740137.21	-664117.29
740128.94	-664111.62
740117.38	-664102.24
740109.11	-664093.62
740102.81	-664085.18
740096.16	-664072.23
740092.50	-664067.43
740085.24	-664062.17
740075.14	-664057.29
740065.70	-664054.92
740052.01	-664050.21
740030.05	-664039.97
740021.56	-664035.14
740009.63	-664026.21
740002.19	-664022.34
739991.17	-664014.27
739985.69	-664009.38
739982.05	-664004.63
739971.07	-663983.45
739966.04	-663975.14
739959.45	-663966.95
739950.71	-663958.67
739945.07	-663954.87
739938.49	-663951.51
739917.39	-663943.26
739901.94	-663938.30
739884.95	-663934.59
739881.96	-663934.49
739852.09	-663931.03
739847.11	-663930.95
739834.19	-663934.96
739826.67	-663936.52
739812.01	-663938.67
739801.26	-663939.34
739783.86	-663938.61
739770.52	-663939.86
739761.66	-663941.71
739751.91	-663944.51
739734.88	-663952.05
739721.34	-663959.17
739682.63	-663972.50
739665.38	-663977.07
739647.41	-663983.89
739636.27	-663986.50
739603.03	-663999.51
739580.74	-664004.55
739573.52	-664007.22
739566.96	-664010.36
739564.31	-664013.55
739555.61	-664030.03
739548.97	-664037.93
739538.27	-664046.95
739530.33	-664051.31
739524.72	-664052.98
739517.80	-664052.39
739497.26	-664044.02
739486.16	-664040.93
739475.22	-664038.61
739454.98	-664036.25
739441.69	-664033.00
739436.36	-664029.85
739425.55	-664015.54
739420.61	-664011.27
739412.46	-664008.57
739402.06	-664009.84
739395.15	-664012.12
739370.40	-664028.94
739360.38	-664038.42
739354.00	-664043.30
739346.88	-664046.47
739337.99	-664049.74
739330.25	-664051.51
739322.80	-664051.56
739306.13	-664047.52
739290.09	-664044.68
739274.19	-664039.36
739261.39	-664038.19
739244.42	-664043.00
739233.35	-664043.50
739186.46	-664037.55
739168.62	-664032.28
739145.21	-664029.38
739127.29	-664035.02
739115.00	-664036.58
*	* unknown
739027.76	-664223.58
739014.89	-664224.51
738997.96	-664228.96
738960.83	-664242.77
738943.67	-664251.25
738935.46	-664257.54
738931.49	-664261.91
738926.88	-664268.01
738915.68	-664287.22
738900.21	-664319.54
738891.70	-664334.75
738879.54	-664358.14
738873.60	-664367.40
738868.64	-664373.37
738861.23	-664380.81
738848.35	-664391.85
738828.61	-664404.73
738809.71	-664417.90
738799.75	-664422.86
738786.98	-664428.60
738772.21	-664433.11
738761.02	-664437.57
738739.34	-664450.24
738724.11	-664456.21
738711.64	-664458.36
738700.83	-664458.42
738689.51	-664460.62
738680.96	-664465.92
738659.03	-664486.45
738648.72	-664494.25
738624.39	-664508.59
738613.09	-664512.97
738604.60	-664518.08
738595.82	-664525.19
738577.96	-664541.23
738557.28	-664567.21
738539.96	-664586.12
738528.55	-664596.78
738520.07	-664606.74
738516.67	-664612.22
738514.10	-664616.36
738505.60	-664635.77
738491.87	-664661.95
738479.64	-664683.02
738472.62	-664697.44
738471.57	-664700.91
738470.82	-664703.39
738469.55	-664711.92
738468.92	-664772.78
738467.88	-664782.01
738463.83	-664805.41
738455.93	-664841.09
738453.30	-664849.64
738449.09	-664884.06
738448.41	-664893.68
738448.86	-664904.33
738448.54	-664908.01
738448.22	-664911.64
738446.23	-664916.71
738441.53	-664924.49
738435.71	-664930.33
738427.52	-664934.07
738408.73	-664938.05
738398.73	-664943.14
738388.14	-664950.19
738381.13	-664954.78
738375.29	-664958.67
738366.75	-664962.77
738359.11	-664964.77
738346.94	-664966.04
738335.36	-664969.24
738302.95	-664972.56
738284.82	-664978.04
738260.77	-664988.81
738248.51	-664994.88
738235.35	-665005.11
738227.89	-665012.36
738223.85	-665020.70
738223.98	-665029.68
738225.71	-665039.65
738231.78	-665050.52
738233.70	-665056.09
738233.30	-665065.21
738229.84	-665071.91
738208.23	-665094.51
738182.69	-665117.70
738162.37	-665131.88
738154.82	-665139.90
738150.96	-665147.32
738148.60	-665158.02
738144.77	-665158.63
738075.27	-665169.68
738045.65	-665176.89
737950.81	-665235.99
737924.02	-665246.00
737902.78	-665253.93
737830.61	-665266.10
737766.52	-665276.92
737713.07	-665282.96
737645.03	-665284.67
737552.11	-665237.66
737494.28	-665191.50
737482.37	-665181.99
737433.90	-665143.39
737361.87	-665082.97
737235.42	-665068.47
737089.19	-665110.87
736955.29	-665149.80
736865.55	-665156.99
736864.19	-665157.09
736739.16	-665165.98
736671.41	-665170.04
*	* unknown
761450.33	-662276.53
761304.37	-662143.40
761162.94	-662014.37
760988.62	-662050.37
760839.73	-662157.87
760811.88	-662173.50
760699.49	-662236.56
760580.82	-662207.52
760474.99	-662181.62
760352.28	-662085.21
760271.38	-661982.39
760172.41	-661856.58
760034.67	-661626.94
759922.43	-661508.09
759811.54	-661390.66
759771.77	-661375.49
759698.98	-661347.72
*	* unknown
752866.45	-660602.23
752793.91	-660489.20
752735.01	-660350.02
752657.23	-660275.14
752615.99	-660174.88
752579.79	-660079.41
752506.58	-659939.86
752404.84	-659765.18
752399.74	-659755.41
752392.14	-659740.87
752368.42	-659695.89
752337.02	-659636.32
752281.34	-659532.13
752238.46	-659456.64
*	* unknown
729537.23	-672492.19
729535.41	-672495.64
729520.42	-672523.04
729503.51	-672514.23
729493.72	-672509.24
729487.68	-672508.00
729484.36	-672509.73
729471.17	-672520.46
729450.31	-672537.83
729441.24	-672544.84
729432.09	-672547.55
729410.89	-672546.57
729393.25	-672543.85
729376.15	-672539.14
729360.73	-672536.36
729337.71	-672531.37
729319.62	-672527.11
729285.76	-672519.19
729273.65	-672516.60
*	* unknown
729273.65	-672516.60
729261.79	-672513.96
729246.12	-672508.92
729235.39	-672502.81
729225.75	-672493.91
729219.47	-672485.60
729212.71	-672470.00
729209.92	-672452.74
729205.84	-672430.43
729203.79	-672417.28
729200.56	-672396.41
729194.34	-672363.71
729180.85	-672331.24
729177.85	-672325.28
729152.48	-672291.23
729141.17	-672279.88
729088.77	-672247.00
729076.50	-672239.60
729063.55	-672230.82
729040.74	-672211.69
729028.82	-672199.79
728999.21	-672160.90
728988.72	-672148.67
728974.57	-672134.06
728966.43	-672127.30
728952.60	-672117.59
728940.77	-672111.06
728929.06	-672105.26
728917.71	-672101.36
728912.90	-672099.56
728908.29	-672098.37
728905.88	-672097.39
728899.13	-672094.37
728885.44	-672086.07
728876.47	-672078.73
728870.35	-672072.87
728861.18	-672062.36
728855.62	-672053.40
728848.14	-672040.82
728840.91	-672031.00
728828.92	-672021.95
728818.48	-672016.37
728806.45	-672012.48
728792.96	-672005.91
728780.35	-671996.31
728769.56	-671982.63
728760.89	-671972.44
728747.72	-671953.80
728735.86	-671939.94
728726.09	-671931.09
728715.57	-671923.58
728703.67	-671916.53
728687.17	-671908.95
728677.28	-671905.22
728665.76	-671900.25
728656.21	-671894.34
728644.61	-671885.11
728617.76	-671858.46
728568.96	-671811.29
728553.69	-671795.98
728542.12	-671784.09
728526.38	-671769.15
728469.95	-671714.48
728454.01	-671701.98
728444.90	-671694.83
728409.10	-671669.72
728394.19	-671661.14
728385.54	-671656.27
728380.27	-671658.68
728364.66	-671665.81
728327.38	-671682.84
728324.48	-671684.73
728321.57	-671686.33
728318.71	-671687.92
728317.16	-671688.79
728315.07	-671689.94
728280.99	-671712.07
728253.74	-671731.49
728250.59	-671733.73
728242.35	-671740.15
728228.70	-671750.78
728225.64	-671753.42
728221.68	-671756.68
728212.64	-671764.10
728182.45	-671795.75
728149.87	-671823.32
728130.54	-671834.85
728018.93	-671866.88
727969.97	-671883.04
727926.70	-671914.64
727896.25	-671936.88
727858.35	-671952.12
727852.76	-671955.18
*	* unknown
769285.86	-657999.72
769291.20	-658004.00
769294.77	-658006.10
769298.15	-658008.24
769304.89	-658015.42
769309.42	-658022.02
769311.25	-658025.66
769314.47	-658031.56
769315.62	-658035.50
769315.43	-658041.39
769316.83	-658048.98
769319.64	-658052.97
769324.38	-658056.31
769329.28	-658060.18
769332.03	-658065.34
769331.49	-658068.98
769328.00	-658074.84
769324.28	-658079.42
769320.97	-658083.39
769319.72	-658088.69
769320.47	-658094.66
769318.77	-658098.39
769294.44	-658115.08
769291.51	-658118.73
769289.74	-658123.26
769288.84	-658126.71
769287.38	-658129.47
769286.24	-658135.39
769285.02	-658140.81
769283.31	-658146.35
769281.75	-658150.94
769280.77	-658152.99
769279.37	-658154.34
769278.46	-658158.19
769277.06	-658162.03
769274.03	-658162.25
769271.60	-658164.17
769271.53	-658173.22
769271.37	-658178.25
769272.36	-658183.39
769273.89	-658187.74
769273.18	-658194.07
769271.79	-658202.83
769269.08	-658211.86
769266.46	-658219.95
769264.36	-658225.86
769261.90	-658232.35
769260.96	-658237.35
769261.61	-658242.07
769261.15	-658247.22
769260.42	-658251.82
769260.09	-658257.18
769259.11	-658263.43
769256.19	-658268.84
769253.25	-658271.98
769248.59	-658275.88
769245.44	-658280.50
769243.41	-658284.88
769241.88	-658291.83
769239.89	-658298.35
769237.76	-658302.82
769236.54	-658309.95
769235.10	-658315.19
769232.67	-658319.01
769231.13	-658323.02
769229.32	-658327.87
769228.43	-658333.58
*	* unknown
770501.64	-651348.44
770444.28	-651310.85
770424.29	-651297.75
770402.09	-651279.48
770388.66	-651266.75
770362.13	-651246.14
770358.44	-651243.28
770357.78	-651245.27
770351.40	-651252.13
770346.40	-651256.61
770345.17	-651260.06
770339.52	-651281.99
770338.82	-651283.87
770329.96	-651294.55
770317.30	-651304.71
770308.49	-651312.81
770293.84	-651327.68
770284.81	-651337.90
770280.90	-651343.82
770276.92	-651348.66
770265.63	-651366.35
770259.20	-651373.28
770238.72	-651391.99
770226.11	-651402.24
770207.52	-651420.92
770196.33	-651431.45
770183.80	-651442.11
770177.09	-651448.76
770169.64	-651455.34
770162.62	-651460.05
770154.77	-651463.22
770150.88	-651466.23
770145.39	-651473.13
770138.08	-651480.77
770126.45	-651484.56
770112.31	-651486.02
770095.92	-651486.62
770082.98	-651489.46
770078.00	-651491.84
770074.24	-651493.31
770064.99	-651499.54
770054.30	-651504.18
770042.75	-651506.33
770031.35	-651505.25
770015.60	-651504.03
770015.55	-651503.98
769994.40	-651504.41
769982.77	-651506.09
769959.56	-651517.00
769956.92	-651517.32
769950.64	-651522.93
769946.40	-651532.63
769938.87	-651539.11
769927.92	-651538.48
769922.50	-651537.32
769909.26	-651528.28
769892.09	-651514.60
769871.90	-651505.05
769869.72	-651504.79
769849.79	-651499.28
769826.72	-651490.87
769796.68	-651475.59
769788.39	-651472.44
769768.14	-651468.06
769743.06	-651466.39
769736.37	-651465.19
769703.53	-651470.34
769688.41	-651471.02
769682.58	-651472.62
769672.89	-651472.43
769664.50	-651473.47
769642.74	-651472.04
769618.41	-651472.86
769604.24	-651473.49
769594.15	-651477.39
769587.50	-651480.63
769576.25	-651487.78
769559.74	-651499.40
769554.87	-651506.40
769544.61	-651523.16
769539.42	-651536.72
769535.31	-651548.54
769527.90	-651571.86
769517.05	-651600.02
769511.69	-651616.43
769509.51	-651635.69
769509.03	-651644.70
769507.12	-651652.74
769502.82	-651670.11
769501.13	-651683.38
769501.69	-651688.12
769502.01	-651696.01
769503.74	-651710.57
769517.36	-651747.63
769518.43	-651757.48
769520.19	-651778.28
769522.45	-651787.67
769524.90	-651797.32
769525.60	-651806.13
769525.09	-651809.37
769524.02	-651814.80
769523.03	-651820.50
769525.81	-651833.15
769529.15	-651841.82
769533.10	-651850.87
769542.04	-651879.50
769545.51	-651900.92
769549.49	-651914.10
769554.96	-651920.73
769560.39	-651927.41
769565.13	-651935.14
769578.33	-651957.90
769595.07	-651985.97
769598.12	-651995.12
769598.49	-652002.86
769598.25	-652016.03
769596.09	-652025.77
769584.48	-652048.20
769583.80	-652049.50
769581.70	-652054.94
769579.94	-652062.15
769577.61	-652068.29
769575.52	-652076.08
769574.37	-652090.10
769574.04	-652096.30
769572.97	-652102.64
769571.18	-652109.56
769572.07	-652115.15
769574.30	-652124.83
769585.20	-652149.85
769587.32	-652158.30
769591.52	-652178.04
769592.65	-652186.31
769593.97	-652197.02
769591.90	-652211.77
769590.25	-652223.58
769588.58	-652233.71
769586.86	-652243.60
769587.20	-652268.06
769591.07	-652289.74
769600.89	-652316.26
769605.37	-652327.15
769611.57	-652336.70
769620.54	-652346.27
769657.92	-652378.63
769669.95	-652392.53
769679.04	-652408.63
769680.07	-652417.14
769681.67	-652424.63
769682.41	-652436.96
769674.70	-652501.59
769667.03	-652566.29
769664.69	-652580.08
769662.00	-652586.77
769660.19	-652596.29
769657.87	-652601.83
