*	* unknown
746819.29	-663530.91
746811.19	-663547.34
746807.98	-663551.35
746802.50	-663555.44
746793.23	-663562.56
746779.47	-663569.03
746774.89	-663569.73
746772.10	-663574.47
746766.78	-663589.31
746761.91	-663600.65
746759.32	-663609.43
746753.90	-663614.08
746739.79	-663622.77
746739.80	-663628.61
746738.07	-663635.15
746732.72	-663641.40
746727.47	-663645.94
746723.59	-663649.21
746719.82	-663657.89
746714.68	-663673.80
746704.28	-663677.41
746695.79	-663686.62
746695.58	-663689.62
746687.03	-663699.67
746679.43	-663704.81
746671.52	-663713.06
746661.44	-663731.56
746653.93	-663740.62
746648.77	-663749.79
746639.72	-663759.84
746634.05	-663763.40
746629.61	-663767.15
746623.96	-663768.25
746611.05	-663782.45
746606.71	-663790.67
746602.06	-663795.82
746595.21	-663805.45
746593.64	-663806.44
746587.37	-663814.50
746585.94	-663819.70
746582.52	-663828.11
746582.21	-663836.17
746579.19	-663841.06
746575.78	-663843.59
746572.88	-663846.09
746569.13	-663855.23
746564.26	-663859.86
746553.30	-663866.56
746550.43	-663873.28
746548.72	-663881.10
746543.25	-663884.46
746540.69	-663887.41
746537.55	-663897.75
746534.31	-663898.96
746529.29	-663899.00
746519.85	-663897.89
746515.51	-663899.32
746507.59	-663903.44
746500.29	-663911.49
746494.85	-663915.90
746480.59	-663922.06
746476.73	-663922.72
746472.51	-663924.36
746467.94	-663929.00
746462.24	-663934.21
746458.51	-663936.59
746455.53	-663939.99
746445.52	-663948.40
746442.64	-663952.61
746441.17	-663955.40
746441.03	-663968.22
746434.00	-663977.99
746425.66	-663981.75
746416.83	-663985.09
746410.04	-663985.60
746404.32	-663984.61
746400.18	-663985.04
746392.96	-663989.19
746382.79	-664001.00
746380.28	-664005.19
746375.37	-664007.93
746367.87	-664017.71
746363.17	-664023.10
746359.55	-664030.48
746354.44	-664036.33
746344.22	-664042.01
746338.84	-664039.89
746336.71	-664042.37
746335.50	-664047.57
746323.24	-664067.67
746322.72	-664073.43
746318.93	-664078.04
746310.13	-664084.65
746305.83	-664087.47
746302.89	-664091.63
746300.17	-664096.96
746293.77	-664103.04
746287.65	-664109.69
746279.38	-664122.25
746279.73	-664132.05
746277.89	-664138.07
746268.21	-664143.44
746264.55	-664148.17
746256.56	-664157.21
746256.05	-664162.06
746253.56	-664167.01
746250.07	-664170.94
746249.88	-664174.43
746247.24	-664177.39
746244.67	-664179.08
746234.64	-664182.01
746232.71	-664188.71
746233.75	-664195.32
746234.07	-664200.15
746231.49	-664206.53
746227.03	-664225.20
746222.61	-664230.07
746218.32	-664232.50
