617948.47	-143127.84
*	* unknown
678721.73	-142753.54
674598.96	-142479.71
*	* unknown
646494.52	-157041.90
645316.64	-156465.90
*	* unknown
646546.49	-157045.15
646494.52	-157041.90
*	* unknown
648292.54	-156602.36
651184.36	-159246.38
*	* unknown
651066.07	-148474.89
647604.79	-153151.47
*	* unknown
655492.53	-144580.16
661819.15	-158404.05
*	* unknown
664832.96	-176171.92
666327.32	-171758.41
*	* unknown
377582.57	-286609.35
376081.92	-286593.85
*	* unknown
354903.39	-286691.49
348943.48	-290571.84
*	* unknown
344979.12	-302133.68
344244.15	-303039.53
*	* unknown
407267.00	-276220.31
408823.04	-278402.40
*	* unknown
440770.10	-284171.74
440434.33	-284927.37
*	* unknown
439644.69	-290950.17
440225.46	-292348.38
*	* unknown
446416.71	-269477.12
446400.15	-269485.35
*	* unknown
444630.28	-272782.03
443991.73	-275985.91
*	* unknown
443991.73	-275985.91
442536.87	-280115.49
*	* unknown
445728.54	-85106.90
456412.49	-101116.83
*	* unknown
519755.32	-102456.25
519645.41	-102086.31
*	* unknown
525593.12	-108606.28
527905.27	-109216.51
*	* unknown
515634.38	-108728.10
521542.34	-105611.25
*	* unknown
518920.91	-116854.77
519067.87	-116953.44
518874.94	-116570.67
518825.00	-116615.09
518920.91	-116854.77
*	* unknown
536073.58	-110073.18
534957.87	-109318.99
*	* unknown
520513.80	-117467.64
523377.05	-112490.19
*	* unknown
520935.96	-105898.81
514874.25	-109623.58
*	* unknown
511468.84	-123825.20
520513.80	-117467.64
*	* unknown
545475.32	-145062.58
536059.91	-135710.88
*	* unknown
536059.91	-135710.88
519564.25	-133364.18
*	* unknown
520773.05	-133781.22
522908.90	-134197.80
*	* unknown
523385.59	-133887.12
522940.33	-134243.28
*	* unknown
553195.41	-121840.57
553802.17	-124157.49
*	* unknown
551979.47	-119918.58
553195.41	-121840.57
*	* unknown
546313.99	-118029.83
551979.47	-119918.58
*	* unknown
543426.92	-115615.42
546313.99	-118029.83
*	* unknown
547842.96	-128645.99
555996.27	-130148.17
*	* unknown
551183.12	-124282.02
548630.67	-126123.67
*	* unknown
551235.23	-124948.70
551183.12	-124282.02
*	* unknown
553408.53	-124384.55
551235.23	-124948.70
*	* unknown
564084.04	-131076.30
566443.00	-132442.91
*	* unknown
561397.38	-128879.68
564084.04	-131076.30
*	* unknown
556919.97	-127412.60
561397.38	-128879.68
*	* unknown
555996.27	-130148.17
556862.10	-127526.22
*	* unknown
565531.02	-133129.26
565011.96	-133440.73
*	* unknown
570907.11	-133444.50
575815.29	-134824.00
*	* unknown
568644.00	-131961.74
570907.11	-133444.50
*	* unknown
566878.55	-132153.85
568238.47	-131429.80
*	* unknown
566443.00	-132442.91
566878.55	-132153.85
*	* unknown
595407.61	-98966.90
588666.14	-89598.37
*	* unknown
594570.02	-104044.92
594528.14	-103942.91
594516.80	-103943.89
594518.64	-104007.16
594570.02	-104044.92
*	* unknown
594197.86	-122594.12
596058.27	-113845.57
*	* unknown
590343.82	-130780.75
594197.86	-122594.12
*	* unknown
585335.95	-131765.72
590343.82	-130780.75
*	* unknown
586219.13	-133603.44
587683.71	-134658.92
*	* unknown
586150.88	-132103.12
586219.13	-133603.44
*	* unknown
587683.71	-134658.92
586150.88	-132103.12
*	* unknown
577436.98	-134994.14
578555.17	-134260.22
*	* unknown
575815.29	-134824.00
577436.98	-134994.14
*	* unknown
599184.56	-132087.52
596907.86	-137063.02
*	* unknown
602883.94	-121284.86
602159.55	-122301.27
*	* unknown
604214.71	-128634.36
602883.94	-121284.86
*	* unknown
602260.58	-136164.69
604214.71	-128634.36
*	* unknown
584761.96	-132492.63
582858.62	-132890.22
*	* unknown
596907.86	-137063.02
596504.03	-137773.91
*	* unknown
597770.81	-145721.21
602260.58	-136164.69
*	* unknown
617343.42	-99822.56
623924.43	-109160.03
*	* unknown
619670.59	-110208.06
619915.64	-110418.39
*	* unknown
656093.78	-119113.36
661925.20	-121460.44
*	* unknown
649259.71	-127300.78
652541.14	-128259.70
*	* unknown
841129.91	-255972.24
841241.78	-256081.18
*	* unknown
841846.84	-256222.06
842117.94	-256233.84
*	* unknown
841056.14	-256332.80
840875.72	-256289.04
*	* unknown
827865.30	-257107.77
828757.92	-257506.67
