*	* * *
352119.56	-1002162.17
358447.91	-1005012.67
373219.49	-999969.13
375395.00	-1003802.07
384746.07	-1004309.72
399664.48	-997230.78
416111.50	-1003593.93
423728.83	-996863.09
427221.30	-1000080.22
429882.29	-999416.95
430935.24	-991868.96
422533.29	-994049.18
416337.27	-990506.41
415901.71	-987750.59
423515.92	-978899.64
431916.93	-976143.38
439089.86	-983929.46
439129.15	-987141.87
435571.28	-989965.76
436140.82	-990101.87
*	* * *
1113565.29	-917319.63
1109900.04	-921518.30
1109858.90	-930227.75
1105632.47	-935901.23
1108688.38	-941371.93
1109742.99	-953679.59
1097906.52	-957370.78
1094044.84	-955344.71
1087130.41	-959413.66
1081655.13	-953987.80
1072901.79	-952286.31
1059491.65	-964714.09
1078889.30	-968980.84
1083728.60	-977041.37
1080497.44	-988581.89
1067052.02	-995644.71
1064649.17	-1001664.82
1069397.79	-1009272.05
1066951.73	-1020541.08
1074533.87	-1026927.95
1071436.89	-1032197.40
1073816.07	-1035854.21
1072498.53	-1043064.18
1058125.83	-1045142.34
1044990.55	-1062095.50
*	* * *
183174.93	-348258.37
180462.75	-351238.68
178259.01	-350111.79
175843.96	-352819.04
175405.64	-348356.61
176605.58	-343972.52
179187.93	-339802.25
186295.02	-330670.94
187662.46	-330795.31
190456.79	-336645.75
189060.49	-343187.56
186232.04	-347011.58
183174.93	-348258.37
*	* * *
941385.80	-817778.51
946964.64	-822650.74
959907.34	-818090.72
974796.35	-825200.37
991845.64	-830116.41
999039.27	-828375.62
1018009.95	-838852.95
1036355.81	-839541.06
1043042.86	-837503.76
1048591.78	-830174.63
1055422.25	-829317.78
1067612.19	-835885.04
1081619.82	-837101.40
1087325.04	-847493.16
*	* * *
843507.15	-852135.79
857223.72	-859671.97
860245.65	-864209.42
859162.44	-867078.96
864717.65	-871734.10
884026.19	-874445.49
894133.48	-864558.15
911787.58	-869297.67
914070.36	-856848.42
919831.38	-846272.07
931410.53	-845239.47
932146.73	-816712.42
941385.80	-817778.51
*	* * *
348626.94	-998580.09
343554.82	-987817.82
345939.67	-980118.99
345569.23	-974227.60
352585.76	-952718.29
349692.18	-944904.72
350326.80	-935964.32
350405.77	-935284.46
359236.61	-919485.10
363998.54	-910340.32
371239.74	-879369.41
381994.64	-867101.18
383298.35	-865634.05
393839.83	-855286.79
400478.60	-841571.48
405590.65	-837005.31
392939.78	-832721.76
380870.56	-826875.03
359559.49	-825006.48
351552.96	-819238.70
348107.15	-811565.94
339427.39	-811412.04
333486.10	-815903.84
325532.42	-815880.53
318681.10	-811055.79
314675.21	-814404.83
312919.02	-806754.17
300283.68	-803602.49
296693.96	-809727.99
290306.92	-807502.30
289890.99	-802071.28
280035.72	-788178.51
278455.81	-777712.36
270567.62	-771387.26
264250.38	-770891.50
*	* * *
1198369.09	-726738.74
1191885.68	-739327.53
1187829.67	-740958.94
1187806.37	-747094.24
1183043.06	-751404.23
1171905.25	-758923.91
1168100.34	-786292.86
1158089.82	-790785.85
1155277.41	-801010.30
1148419.54	-803285.14
1138677.64	-812617.85
1131530.68	-817812.86
1123954.13	-816374.70
1119927.89	-819979.41
1102742.57	-815891.69
1093097.36	-830129.60
1087325.04	-847493.16
*	* * *
222827.02	-758988.71
228166.72	-765209.65
235992.14	-770576.85
243825.13	-770629.49
252931.45	-765656.98
264250.38	-770891.50
*	* * *
1113565.29	-917319.63
1120348.56	-915820.48
1128721.95	-918321.31
1139057.66	-928217.13
1160649.20	-940924.02
1175977.68	-941174.17
1234894.92	-930133.00
*	* * *
1087325.04	-847493.16
1089234.87	-856990.40
1082894.71	-869368.39
1084459.54	-879433.72
1092892.93	-889354.06
1096543.34	-899585.40
1104472.12	-905025.09
1106485.08	-914472.10
1113565.29	-917319.63
*	* * *
507530.27	-1008264.52
518659.59	-1009593.85
526534.38	-1003492.81
531848.97	-1008679.22
540595.34	-1007881.90
543158.79	-1015430.34
550003.53	-1019649.48
551484.04	-1029330.36
559225.63	-1027195.01
560862.19	-1030738.33
557713.21	-1040849.85
568414.46	-1037012.69
574322.81	-1030667.76
581150.41	-1020770.26
578815.73	-1012264.23
579913.87	-1006595.94
587910.47	-1008745.87
594654.95	-1005395.64
606871.91	-1010603.73
614831.32	-1008449.49
614772.63	-1014756.20
620792.28	-1018801.65
623608.73	-1025113.54
625660.49	-1025048.91
641139.40	-1020666.55
645801.39	-1023714.54
651185.67	-1018804.49
658361.03	-1018560.30
656191.32	-1015368.89
657304.65	-1012557.29
669241.29	-1009884.34
674986.24	-1000489.63
690827.32	-1000833.48
709386.14	-996242.01
720192.00	-996073.37
718034.19	-986816.61
722430.32	-983553.63
724424.49	-983098.55
725471.00	-987738.67
731364.33	-986045.84
738723.23	-986690.76
745121.44	-993518.52
750771.43	-992945.48
753697.22	-988181.27
760219.80	-986552.40
768110.38	-992330.13
769628.67	-1000812.21
779314.88	-1008011.28
786685.35	-1010390.62
789417.52	-1004408.75
791512.13	-986584.87
786742.83	-981433.37
777854.62	-980937.49
783236.81	-964739.38
778221.63	-955385.39
773021.85	-952482.27
771573.27	-948499.34
762243.65	-935119.61
771616.99	-924626.83
777031.14	-923209.13
784005.47	-916350.22
794886.91	-911819.28
802753.29	-910422.82
812115.01	-901658.19
814969.61	-885584.08
813759.12	-880472.84
819342.82	-875133.78
836718.86	-883297.83
843186.46	-870998.47
840572.39	-859216.52
843507.15	-852135.79
*	* * *
264250.38	-770891.50
265849.83	-761356.64
270696.60	-748571.46
276310.40	-742228.50
277537.33	-734746.43
275067.99	-730060.41
263985.25	-726569.90
258770.90	-720815.21
250503.89	-701839.40
251892.49	-692209.97
*	* * *
251892.49	-692209.97
243831.35	-685441.07
233910.47	-693488.25
230952.00	-700471.65
223076.59	-711617.76
220019.79	-722507.38
220526.19	-728665.97
228336.64	-739457.58
229953.78	-746382.70
226323.93	-756028.39
222827.02	-758988.71
*	* * *
248185.08	-618614.09
255077.67	-623999.77
259336.29	-632963.57
264577.20	-635225.60
259181.16	-641441.58
259046.00	-646718.24
268057.81	-650128.17
271567.08	-656442.72
270097.85	-664109.34
273453.30	-670876.57
266614.97	-671646.11
256941.98	-679543.18
251892.49	-692209.97
*	* * *
222827.02	-758988.71
216431.85	-758589.68
195821.91	-762732.02
191034.85	-748179.74
185463.74	-747234.46
183793.16	-740176.49
173750.27	-734838.27
160600.97	-723791.46
152738.19	-721951.06
154873.67	-710209.10
149620.88	-703504.94
153060.91	-694139.41
156588.95	-683015.66
151196.65	-682021.14
143045.49	-688776.31
142472.14	-693169.32
140593.62	-699021.01
121481.81	-703652.81
106622.74	-700263.46
99912.10	-697107.57
106200.93	-685935.57
102568.78	-677093.72
107455.73	-665854.92
96023.60	-651908.40
85728.59	-653860.34
76714.14	-650776.07
71704.19	-653536.75
69062.01	-649306.19
69600.62	-636865.70
66968.55	-633193.20
60297.53	-631606.62
58240.01	-627873.19
50005.31	-630714.67
44254.93	-626813.28
42577.15	-604148.65
39482.34	-598792.64
38139.43	-598536.76
32676.43	-595186.25
26726.69	-595108.72
17548.49	-602437.85
14339.54	-601259.10
*	* * *
899533.34	-600261.03
911659.88	-599206.14
912368.06	-589310.35
909993.79	-584855.52
912007.71	-582178.64
923260.70	-581942.19
931608.14	-586007.54
933126.00	-593961.69
941605.90	-606579.40
946407.68	-603896.97
953002.36	-606117.75
970136.30	-608682.69
974091.85	-608028.89
979013.69	-615542.92
987235.38	-614162.26
990901.34	-622601.64
996661.50	-615462.40
1003300.48	-618217.62
1006925.30	-613960.74
1013509.39	-614739.82
1020917.13	-619939.05
1019121.21	-629376.11
1007356.90	-642000.80
1026763.74	-654084.95
1035168.68	-663240.97
1038605.83	-672044.99
1048560.02	-675614.33
1059034.45	-663097.27
1070021.74	-657599.62
1068216.63	-650770.64
1056728.04	-638087.31
1058828.93	-633432.36
1080762.88	-638803.36
1100514.00	-651227.58
1114148.09	-647543.14
1119292.54	-641215.64
1121797.41	-641860.03
1125359.68	-652404.84
1115591.59	-660991.26
1126327.97	-668101.49
1130518.70	-674290.50
1138641.50	-679109.98
1149569.53	-673374.78
1147534.87	-669628.60
1148741.74	-667039.53
1156796.22	-674032.90
1162527.29	-674193.64
1171671.88	-680372.07
1174552.81	-678044.45
1191914.77	-679187.18
1193681.66	-689061.31
1198779.31	-699309.38
*	* * *
843507.15	-852135.79
834608.09	-840244.12
829610.34	-839286.99
819578.20	-830414.78
815163.26	-832725.97
809004.40	-829607.10
805278.59	-819786.95
791088.37	-812748.28
788641.37	-807866.62
