*	* * *
354526.96	-325859.97
336484.56	-320991.97
340457.12	-302259.10
345973.09	-301446.42
344703.93	-296531.00
349421.60	-290483.03
358414.26	-285395.25
375949.41	-286552.17
393815.13	-283521.56
407156.79	-283918.07
409861.15	-290996.45
412734.04	-292202.80
416076.99	-297299.32
417187.93	-304361.12
410172.55	-307332.80
411839.31	-313067.06
419028.80	-318773.57
423337.58	-319324.11
426787.70	-313869.35
426542.09	-306693.04
422319.84	-304065.28
426669.67	-296054.96
444086.72	-306126.88
440333.53	-298671.52
441962.69	-296739.97
439865.14	-287241.49
444823.39	-272152.92
448615.32	-266115.02
454122.91	-264180.15
461138.31	-270763.05
476489.04	-271186.18
493814.09	-267673.13
488878.91	-266178.05
472884.33	-263730.71
464296.90	-249236.73
473499.71	-246143.82
471022.92	-238370.85
465745.20	-236861.76
463118.99	-230640.26
465682.60	-221452.37
455463.90	-218602.40
452290.14	-214849.60
456078.94	-207692.73
467853.43	-204258.79
471909.59	-199005.33
466250.16	-195554.72
466922.99	-182045.35
454380.91	-159125.26
453427.90	-147312.32
*	* * *
453427.90	-147312.32
484759.76	-152279.37
492000.18	-154936.40
*	* * *
562998.90	-147856.01
567119.53	-150607.18
570664.31	-149655.31
572451.06	-152434.35
575587.06	-150927.90
576963.10	-155951.82
571056.43	-158641.27
565526.96	-154146.55
562180.24	-148769.58
562998.90	-147856.01
*	* * *
641016.96	-155674.31
644369.98	-156369.17
651955.69	-152621.15
652450.64	-149195.85
657740.97	-149852.77
658721.19	-142257.98
663896.86	-141189.41
676842.57	-147863.90
678565.19	-146971.33
677136.29	-144024.03
678618.18	-143919.60
683384.26	-150677.99
684725.63	-154831.71
679338.62	-163957.58
674179.45	-171511.93
673354.42	-185547.06
667736.10	-176359.55
668877.20	-169233.27
667183.93	-167981.18
662466.50	-176878.88
652361.09	-175582.70
640149.98	-181230.03
631535.63	-175978.80
609341.40	-164103.58
608771.76	-160036.36
613610.37	-159033.65
612923.36	-153543.73
610688.68	-149358.33
614284.99	-144679.73
623710.74	-142146.93
630838.43	-145999.16
634094.33	-150188.01
639825.49	-152951.10
641016.96	-155674.31
*	* * *
436581.86	-149096.49
441476.99	-150989.59
441984.03	-152555.50
438777.58	-154340.71
433818.22	-150546.74
430946.78	-153752.52
430259.15	-152613.91
431112.24	-146768.56
433969.80	-139786.02
435477.63	-141455.32
435460.44	-147141.06
436581.86	-149096.49
*	* * *
638495.14	-143009.33
635088.03	-146706.96
633696.70	-144743.28
635747.02	-140153.22
638495.14	-143009.33
*	* * *
646673.40	-140020.54
644348.42	-143598.20
641600.79	-138818.89
645154.16	-137821.78
646673.40	-140020.54
*	* * *
440946.56	-134950.19
435953.00	-138157.96
435340.77	-137127.16
438232.13	-130629.05
440863.11	-131655.26
440946.56	-134950.19
*	* * *
691225.28	-128514.77
695074.14	-132041.00
704686.89	-132187.21
708784.03	-133828.22
710988.91	-139062.94
708155.04	-141134.09
699884.34	-138990.88
695187.90	-140708.40
688598.71	-148926.68
684356.95	-149143.85
682086.11	-145051.87
684396.94	-142089.97
684256.32	-139217.34
688183.19	-139172.05
692246.88	-136999.43
693013.60	-133961.16
690718.27	-130746.51
689431.71	-133105.93
686263.07	-130284.92
687544.30	-127613.01
691225.28	-128514.77
*	* * *
595757.64	-153831.95
589454.80	-168742.79
586082.99	-159586.60
587088.24	-153942.66
589306.77	-150725.78
588988.66	-145903.74
596797.77	-137312.13
603067.53	-124170.98
604095.19	-125100.57
602614.62	-135447.87
595757.64	-153831.95
*	* * *
546462.50	-123336.75
545166.87	-124908.96
541370.24	-123168.85
542835.72	-118920.39
546462.50	-123336.75
*	* * *
619903.20	-119755.56
618537.24	-123932.93
615789.61	-118561.86
618679.02	-116665.33
619903.20	-119755.56
*	* * *
449604.08	-127450.79
446324.95	-130111.26
443571.15	-128225.91
442687.04	-124722.38
444675.11	-114455.22
446461.57	-112839.45
451368.91	-115247.55
448566.02	-121000.14
449604.08	-127450.79
*	* * *
622893.49	-115868.18
619338.73	-115942.27
618941.97	-111732.64
619830.79	-110117.54
621312.47	-111281.13
622893.49	-115868.18
*	* * *
450443.76	-107300.43
447729.76	-107488.60
446884.81	-104967.80
448281.56	-102987.27
451706.90	-103979.59
450443.76	-107300.43
*	* * *
857121.68	-96071.43
865231.42	-100406.67
866928.24	-99743.16
868523.81	-101964.98
873428.99	-105283.99
879764.72	-108064.79
880339.73	-114285.37
877952.57	-118960.50
878794.66	-121643.02
876533.52	-124888.61
868531.56	-123761.31
863345.72	-121122.07
853644.47	-118103.91
849344.92	-114604.68
850623.96	-110822.99
849663.53	-103429.21
850090.83	-100043.07
853315.32	-91260.41
857121.68	-96071.43
*	* * *
531984.09	-99333.41
532580.70	-105168.33
528769.03	-105081.41
528829.46	-102571.27
531984.09	-99333.41
*	* * *
444088.03	-95953.16
441095.74	-97187.95
437566.44	-88876.81
434831.92	-84815.83
437836.37	-82962.95
440151.53	-83570.44
439997.69	-86819.64
442962.41	-87349.96
443862.61	-90662.30
442695.24	-92291.68
444088.03	-95953.16
*	* * *
616236.89	-75624.19
615365.77	-80358.75
611936.20	-79569.74
612995.63	-75632.12
616236.89	-75624.19
*	* * *
575149.82	-76145.89
572041.27	-86521.71
572736.56	-87982.40
581789.61	-82934.91
581992.14	-79177.81
583704.71	-73600.46
583725.72	-70282.81
588256.22	-76009.45
590919.37	-82470.92
586902.49	-86870.79
595381.76	-100442.44
596070.93	-115254.26
592344.05	-128565.95
587189.67	-136249.27
588775.33	-138017.45
587083.45	-143462.48
585199.84	-139205.62
582418.61	-143328.92
578750.65	-142007.31
577684.23	-134853.92
559676.39	-128267.33
553883.37	-128508.59
554565.62	-134803.18
553020.16	-136150.20
550367.58	-131552.01
551724.60	-130130.32
550465.19	-126809.38
552714.77	-123623.90
552152.55	-120926.79
543552.42	-115628.20
542332.35	-115628.11
536848.63	-110604.50
534284.15	-98326.37
531153.21	-96937.35
531966.99	-93385.53
522919.45	-80939.25
530818.48	-75721.23
534329.07	-79572.03
539249.40	-79671.65
555095.39	-69047.28
563874.56	-68170.83
575149.82	-76145.89
*	* * *
722578.69	-63692.65
721217.69	-65036.03
719104.23	-61763.59
719628.42	-58002.91
721759.85	-57807.84
722578.69	-63692.65
*	* * *
675585.22	-59563.24
676857.95	-60003.44
678518.87	-52866.18
677082.95	-46873.22
675506.21	-46931.54
673876.71	-52467.34
670312.85	-52887.12
670382.34	-57760.00
675585.22	-59563.24
*	* * *
564845.89	-50993.37
564028.76	-54341.98
561113.28	-52904.86
563224.27	-46868.91
564845.89	-50993.37
*	* * *
661922.40	-47349.51
661167.95	-52450.00
657615.54	-48230.40
659719.36	-46765.92
660279.17	-43499.00
661922.40	-47349.51
*	* * *
617610.00	-40137.62
*	* * *
584386.18	-47229.12
583050.77	-50790.93
578590.17	-50543.19
576803.40	-44466.02
577038.27	-41066.81
*	* * *
584483.13	-41904.51
584386.18	-47229.12
*	* * *
708522.03	-42504.25
709051.12	-52267.48
715450.63	-63320.50
715354.58	-66913.13
708959.94	-70410.34
704383.20	-62116.87
702952.86	-65807.50
695498.70	-67453.43
687921.35	-73442.42
685662.18	-81759.58
686974.85	-87027.03
697726.26	-92577.48
700496.59	-100663.91
683926.21	-114215.70
684054.43	-128867.42
681967.94	-135556.58
677319.14	-138187.77
669567.77	-135762.06
660680.09	-128467.32
655338.96	-117524.78
624479.03	-110318.07
617781.60	-98374.91
619916.96	-88779.00
616499.23	-72215.35
608499.45	-57420.81
626610.93	-51223.74
637536.67	-39306.71
*	* * *
651782.27	-44734.20
655620.57	-51817.07
657644.87	-61395.15
663518.12	-52257.72
663033.72	-45409.95
667949.36	-39331.75
*	* * *
708522.03	-42504.25
*	* * *
453427.90	-147312.32
456625.74	-118932.09
454767.92	-93517.38
452343.60	-88658.22
442855.96	-83646.93
432625.95	-71298.14
430770.82	-72567.91
430047.54	-78954.88
420890.02	-72614.02
426113.84	-43519.45
*	* * *
-45527.71	-346236.20
-38850.45	-355281.98
-36299.15	-367450.92
-37832.93	-380049.84
-40859.91	-394151.17
-58527.76	-429367.63
*	* * *
813615.56	-33178.06
813464.36	-47266.47
823697.11	-65184.10
813726.32	-84137.21
806558.91	-85037.19
796633.34	-80559.90
785073.45	-81772.47
759938.48	-92938.22
728263.35	-88761.57
728106.33	-85807.82
734012.28	-82965.84
731290.57	-67594.01
739039.04	-56337.46
730894.39	-48013.91
729139.25	-39606.97
*	* * *
331039.16	-286981.17
331405.48	-288076.97
*	* * *
331948.26	-286330.03
331155.06	-287166.01
331039.16	-286981.17
*	* * *
